title,artist,title_listeners,title_scrobbles,title_tags,title_duration
Rain,The Hardkiss,"6,001","38,505","['electronic', 'dance', 'ukrainian', 'wind and rain and ice and snow', 'ukrainian', 'electronic', 'dance']",3:27
Коханці,The Hardkiss,"5,925","61,735","['hard rock', 'alternative metal', 'ukrainian', 'electronic', 'dance']",4:01
Shadows of Time,The Hardkiss,"5,345","38,514","['electronic', 'pop', 'dance', 'alternative rock', 'ukrainian', 'ukrainian', 'electronic', 'dance']",4:14
Прірва,The Hardkiss,"5,143","40,931","['ukrainian', 'electronic', 'dance', 'alternative rock', '#1', 'ukrainian', 'electronic', 'dance']",2:54
October,The Hardkiss,"5,127","30,050","['electronica', 'pop', 'ukrainian', 'electronic', 'dance']",3:39
Гора,The Hardkiss,"5,105","46,182","['ukrainian', 'electronic', '2021', 'dance', 'alternative rock', 'ukrainian', 'electronic', 'dance']",3:56
"TONY, TALK!",The Hardkiss,"5,099","39,599","['electronic', 'dance', 'alternative rock', 'talk', 'ukrainian', 'ukrainian', 'electronic', 'dance']",3:35
Жива,The Hardkiss,"4,944","54,902","['ukrainian', 'electronic', '2021', 'dance', 'alternative rock', 'ukrainian', 'electronic', 'dance']",4:05
Babylon,The Hardkiss,"4,577","27,343","['electronic', 'female vocalists', 'ukrainian', 'electronic', 'dance']",3:17
Dance With Me,The Hardkiss,"4,548","29,791","['electronic', 'pop', 'dance', 'alternative rock', 'ukrainian', 'ukrainian', 'electronic', 'dance']",2:54
Маяк,The Hardkiss,"4,528","61,821","['ukrainian', 'electronic', 'dance', 'alternative rock', 'ukrainian', 'electronic', 'dance']",3:26
Hurricane,The Hardkiss,"4,426","28,053","['ukrainian', 'electronic', 'dance', 'alternative rock', '#1', 'ukrainian', 'electronic', 'dance']",3:42
Мелодія,The Hardkiss,"4,107","47,946","['ukrainian', 'electronic', '2018', 'dance', 'alternative rock', 'ukrainian', 'electronic', 'dance']",3:54
Антарктида,The Hardkiss,"3,886","36,232","['ukrainian', 'electronic', 'dance', 'alternative rock', 'alternative', 'ukrainian', 'electronic', 'dance']",4:23
7 вітрів,The Hardkiss,"3,834","44,143","['ukrainian', 'electronic', '2021', 'dance', 'alternative rock', 'ukrainian', 'electronic', 'dance']",3:04
Як ти?,The Hardkiss,9,23,"['ukrainian', 'electronic', 'dance', 'alternative rock', 'ukrainian', 'electronic', 'dance']",Add lyrics on Musixmatch
Все було так,The Hardkiss,"3,693","33,684","['ukrainian', 'electronic', '2021', 'dance', 'alternative rock', 'ukrainian', 'electronic', 'dance']",4:04
UNDER THE SUN,The Hardkiss,"3,557","25,733","['ukrainian', 'electronic', 'dance', 'alternative rock', '#1', 'ukrainian', 'electronic', 'dance']",3:38
Сестра,The Hardkiss,"3,472","37,446","['ukrainian', 'electronic', '2021', 'dance', 'alternative rock', 'ukrainian', 'electronic', 'dance']",3:14
Part of Me,The Hardkiss,"3,327","25,408","['ukrainian', 'electronic', 'dance', 'alternative rock', '#1', 'ukrainian', 'electronic', 'dance']",3:36
Strange Moves,The Hardkiss,"3,288","17,352","['ukrainian', 'electronic', 'dance', 'alternative rock', '#1', 'ukrainian', 'electronic', 'dance']",3:11
IN LOVE,The Hardkiss,"3,133","21,020","['ukrainian', 'electronic', 'dance', 'alternative rock', '#1', 'ukrainian', 'electronic', 'dance']",3:08
Free Me,The Hardkiss,"3,094","19,595","['ukrainian', 'electronic', '2018', 'dance', 'alternative rock', 'ukrainian', 'electronic', 'dance']",3:12
Серце,The Hardkiss,"3,034","26,009","['ukrainian', 'electronic', '2018', 'dance', 'alternative rock', 'ukrainian', 'electronic', 'dance']",2:51
Обійми,The Hardkiss,"2,987","24,313","['ukrainian', 'electronic', '2021', 'dance', 'alternative rock', 'ukrainian', 'electronic', 'dance']",3:44
Doctor Thomases,The Hardkiss,"2,729","16,271","['electronic', 'pop', 'dance', 'alternative rock', 'ukrainian', 'ukrainian', 'electronic', 'dance']",4:07
Japanese Dancer,The Hardkiss,"2,706","16,351","['ukrainian', 'electronic', 'dance', 'alternative rock', '#1', 'ukrainian', 'electronic', 'dance']",4:10
Forever More,The Hardkiss,"2,694","17,813","['ukrainian', 'electronic', '2018', 'dance', 'alternative rock', 'ukrainian', 'electronic', 'dance']",3:47
"Хто, як не ти",The Hardkiss,"2,654","25,322","['ukrainian', 'electronic', '2018', 'dance', 'alternative rock', 'ukrainian', 'electronic', 'dance']",3:33
Tell Me Brother,The Hardkiss,"2,625","17,248","['electronic', 'the best of 2014', 'ukrainian', 'electronic', 'dance']",4:03
Perfection,The Hardkiss,"2,495","15,851","['ukrainian', 'electronic', 'dance', 'alternative rock', 'alternative', 'ukrainian', 'electronic', 'dance']",3:55
Only Once,The Hardkiss,"2,466","12,879","['ukrainian', 'electronic', 'dance', 'alternative rock', '#1', 'ukrainian', 'electronic', 'dance']",4:14
Два вікна,The Hardkiss,"2,302","18,606","['ukrainian', 'electronic', 'dance', 'alternative rock', 'ukrainian', 'electronic', 'dance']",3:09
Hammer,The Hardkiss,"2,258","12,946","['electronic', 'pop', 'dance', 'alternative rock', 'ukrainian', 'ukrainian', 'electronic', 'dance']",4:07
Altair,The Hardkiss,"2,185","12,756","['the hardkiss', 'altair', 'ukrainian', 'electronic', 'dance']",4:07
Little Girl,The Hardkiss,"2,168","11,947","['ukrainian', 'electronic', 'dance', 'alternative rock', '#1', 'ukrainian', 'electronic', 'dance']",4:21
00:00,The Hardkiss,"2,127","18,893","['ukrainian', 'electronic', '2018', 'dance', 'alternative rock', 'ukrainian', 'electronic', 'dance']",4:16
