title,artist,merged_album
Коли ти смієшся...,Мертвий Півень,Ето
Old soldier is very drunk,Мертвий Півень,Пісні Мертвого Півня
Квазіамор,Мертвий Півень,Ето
Пісня 551,Мертвий Півень,Шабадабада
"Агов, мої маленькі чортенята",Мертвий Півень,Il Testamento
Гуцулка ксеня,Мертвий Півень,Вибраний Народом
Girl you will be a woman soon,Мертвий Півень,Пісні Мертвого Півня
Переваги окупаційного режиму,Мертвий Півень,Вибраний Народом
Absolutely Vodka,Мертвий Півень,Пісні Мертвого Півня
Ми - хлопці з Бандерштадту,Мертвий Півень,Радіо Афродита
Літо буде,Мертвий Півень,Шабадабада
Трава,Мертвий Півень,Il Testamento
Шабадабада,Мертвий Півень,Шабадабада
Київський триптих,Мертвий Півень,Мертвий півень '93
Карколомні перевтілення,Мертвий Півень,Афродизіяки (Live)
Ластівки,Мертвий Півень,Шабадабада
Етюд з воронами,Мертвий Півень,Ето
Птахорізка,Мертвий Півень,Шабадабада
Просто кава,Мертвий Півень,Ето
Зелене,Мертвий Півень,1989 - Вибране - 1997
Осіннє,Мертвий Півень,Мертвий півень '93
And The Third Angel Sounded,Мертвий Півень,Пісні Мертвого Півня
"Чуєш, мила",Мертвий Півень,Ето
Мене принесли під ранок,Мертвий Півень,Ето
Вікторія,Мертвий Півень,Ето
Міський бог ерос,Мертвий Півень,Шабадабада
Місячний блюз,Мертвий Півень,Ето
Пес,Мертвий Півень,Ето
Сестро,Мертвий Півень,Il Testamento
Шахтарочка,Мертвий Півень,Радіо Афродита
Замок,Мертвий Півень,Ето
Плач,Мертвий Півень,Il Testamento
Il testamento,Мертвий Півень,Il Testamento
"О, панно Інно",Мертвий Півень,Радіо Афродита
Алхімія,Мертвий Півень,Il Testamento
Садок вишневий,Мертвий Півень,Шабадабада
Ієронім Босх Хх,Мертвий Півень,Ето
Life is a long song,Мертвий Півень,Пісні Мертвого Півня
Старенький трамвай,Мертвий Півень,Шабадабада
А ми удвох,Мертвий Півень,Радіо Афродита
Байка,Мертвий Півень,Міський Бог Ерос
Вертикаль,Мертвий Півень,Ето
Ранок француза,Мертвий Півень,Мертвий півень '93
Calling dem,Мертвий Півень,Made in ЮА
Реветастогне,Мертвий Півень,Шабадабада
Пам'ятник,Мертвий Півень,Made in ЮА
Ваня каїн,Мертвий Півень,Мертвий півень '93
Машинґвери,Мертвий Півень,
Вона '98,Мертвий Півень,Шабадабада
Бомба,Мертвий Півень,Il Testamento
Seven-Eleven,Мертвий Півень,Made in ЮА
Вона,Мертвий Півень,Шабадабада
Літо буде '98,Мертвий Півень,Шабадабада
Річка,Мертвий Півень,Мертвий півень '93
Коло,Мертвий Півень,Мертвий півень '93
"Ой Марічко, чичері",Мертвий Півень,
Алкохоку,Мертвий Півень,Мертвий півень '93
Good Time,Мертвий Півень,Мертвий півень '93
Bombing New York city,Мертвий Півень,Пісні Мертвого Півня
Як багато суперзірок,Мертвий Півень,1989 - Вибране - 1997
Старенький харлей,Мертвий Півень,
Колискова для назара,Мертвий Півень,Мертвий півень '93
Для тебе...,Мертвий Півень,Ето
Країна дітей,Мертвий Півень,Підземне Зоо. Live In Studio
Б'ютіфул Карпати '98,Мертвий Півень,
Вменеємен,Крихітка Цахес,На Першому Місці
Деталь,Крихітка Цахес,На Першому Місці
Монета,Крихітка Цахес,
На першому місці,Крихітка Цахес,На Першому Місці
Пароль,Крихітка Цахес,На Першому Місці
Ало-але,Крихітка Цахес,
Майже щаслива,Крихітка Цахес,На Першому Місці
"Ангела, як я",Крихітка Цахес,На Першому Місці
Якби ти знав,Крихітка Цахес,На Першому Місці
Па-па,Крихітка Цахес,На Першому Місці
Lumipallo,Крихітка Цахес,
Скоро буду поруч,Крихітка Цахес,На Першому Місці
Всі джерела відкриті,Крихітка Цахес,На Першому Місці
Рецепт,Крихітка Цахес,
Щось на зразок,Крихітка Цахес,
Прима,Крихітка Цахес,На Першому Місці
