title,artist,spotify_artist,track_id,artist_id,duration_ms,track_popularity,album_id,album_name,album_release_date,total_tracks
Рандеву - UA VERSION,Artem Pivovarov,Artem Pivovarov,1ZeW5kxSSliLisRttpXkJ9,11sIz9STeD6yVSuBaD8nMW,208747,28,5mM1lTjE0J6uIqqE9TmCs9,The Best (UA),2022-11-04,15
Кислород,Artem Pivovarov,Artem Pivovarov,5QRKIoS39gExBNOqqTqtWx,11sIz9STeD6yVSuBaD8nMW,251518,44,4Iwu1iCCc3J3oYqtuDU8Uy,Стихия воды,2017-02-10,10
Міраж,Artem Pivovarov,Artem Pivovarov,3FOBoSvg3paiwcGfOUQLqj,11sIz9STeD6yVSuBaD8nMW,213409,36,5mM1lTjE0J6uIqqE9TmCs9,The Best (UA),2022-11-04,15
Люлі-Люлі,Artem Pivovarov,Artem Pivovarov,7ma0cg8kTNXzC6S4yncbB8,11sIz9STeD6yVSuBaD8nMW,174939,28,0NxyoX0Zwa7IKdLvtvPcDp,Люлі-Люлі,2022-09-30,1
Рандеву,Artem Pivovarov,Artem Pivovarov,1ZeW5kxSSliLisRttpXkJ9,11sIz9STeD6yVSuBaD8nMW,208747,28,5mM1lTjE0J6uIqqE9TmCs9,The Best (UA),2022-11-04,15
Собирай меня,Artem Pivovarov,Artem Pivovarov,1pCblJqsFVRNc9Xmg0oQz8,11sIz9STeD6yVSuBaD8nMW,234180,42,0YsnO662yMAjaOa99vxBug,Океан,2015-08-31,11
Дом,Artem Pivovarov,Artem Pivovarov,4pFMeNLCZCz0Kyn6YL7j8e,11sIz9STeD6yVSuBaD8nMW,203422,39,2A7ksCn1pladjd4P9ghpp1,Земной,2019-11-08,10
До весни,Artem Pivovarov,Artem Pivovarov,6W8FrwUe2l2yclIVUqC1RB,11sIz9STeD6yVSuBaD8nMW,147372,27,5WNjZdBlj83NeNSJF3xgrJ,"Твої Вірші, Мої Ноти PT.1",2023-03-10,17
Сьогодні,Artem Pivovarov,Artem Pivovarov,36jIXNZbKDYOIgKzRzttSX,11sIz9STeD6yVSuBaD8nMW,180424,29,5R3xvKhJMMlhK0KjMb8Zug,Сьогодні,2024-10-25,1
Карма,Artem Pivovarov,Artem Pivovarov,0OLrsL6wJK7qoA4BbWsBx9,11sIz9STeD6yVSuBaD8nMW,247000,21,2A7ksCn1pladjd4P9ghpp1,Земной,2019-11-08,10
Романс,Artem Pivovarov,Artem Pivovarov,4x0PolsTHsYH9fI88kuUQc,11sIz9STeD6yVSuBaD8nMW,213000,21,0IZRv2XJPwUwUryNknS12m,Романс,2021-09-17,1
Моя ніч,Artem Pivovarov,Artem Pivovarov,4VMzAPckNn9flH2ghlvrEO,11sIz9STeD6yVSuBaD8nMW,196000,35,5mM1lTjE0J6uIqqE9TmCs9,The Best (UA),2022-11-04,15
Тішся,Artem Pivovarov,Artem Pivovarov,76PHvtzq2xmQBnrTj8aeMV,11sIz9STeD6yVSuBaD8nMW,227541,25,2ThzE6bnVPBy9X41X9k2zW,Тішся,2022-08-26,1
Позови,Artem Pivovarov,Artem Pivovarov,38dP2yhSToWDSJ0zDr7tgO,11sIz9STeD6yVSuBaD8nMW,244363,24,2A7ksCn1pladjd4P9ghpp1,Земной,2019-11-08,10
"Ти знаєш, що ти людина",Artem Pivovarov,Artem Pivovarov,4xPCicuRjqNnyUwMxdd3gx,11sIz9STeD6yVSuBaD8nMW,224881,32,5T8dz2Q5FFkUCuqwsrsXcw,"Ти знаєш, що ти людина",2023-10-13,1
