artist,album,num_tracks,album_length,release_date,listeners,scrobbles,tags,tracks
Ницо Потворно,Вибач Наташа,1,3:07,5 July 2023,354,"1,488","['ukrainian', 'hip hop', 'rap', 'electronic', 'experimental', 'ukrainian', 'hip hop', 'rap']",['Вибач Наташа']
Ницо Потворно,А може це я?,,,,,,[],[]
Ницо Потворно,Ницо потворно [Explicit],9,,12 March 2020,11,19,"['ukrainian', 'hip hop', 'rap', 'electronic', 'experimental', 'ukrainian', 'hip hop', 'rap']","['Газ', 'Хуйня рухома', 'Клік в лоб [Explicit]', 'Новий шоубізнес', 'Хлам', 'Такі самі як ти', 'Єбучі бабські справи', 'Хто Я', 'Сон без снів [Explicit]']"
Ницо Потворно,Ницо Потворно,9,30:31,11 September 2019,"1,108","23,053","['ukrainian', 'hip hop', 'rap', 'electronic', 'experimental', 'ukrainian', 'hip hop', 'rap']","['Газ', 'Хуйня рухома', 'Клік в лоб', 'Новий шоубізнес', 'Хлам', 'Такі самі як ти', 'Єбучі бабські справи', 'Хто Я', 'Сон без снів']"
Ницо Потворно,Недоречний,1,3:02,20 January 2023,488,"2,858","['ukrainian', 'hip hop', 'rap', 'electronic', 'experimental', 'ukrainian', 'hip hop', 'rap']",['Недоречний']
Ницо Потворно,театр ім Н Потворно,3,9:06,10 December 2021,579,"5,249","['ukrainian', 'hip hop', 'rap', 'electronic', 'experimental', 'ukrainian', 'hip hop', 'rap']","['НП', 'Тоталітарний геймовер', 'Вируби жлоба']"
Ницо Потворно,Да!,1,3:02,12 August 2022,437,"1,818","['ukrainian', 'hip hop', 'rap', 'electronic', 'experimental', 'ukrainian', 'hip hop', 'rap']",['Да!']
Ницо Потворно,Да! - Single,1,3:02,12 August 2022,8,27,"['ukrainian', 'hip hop', 'rap', 'electronic', 'experimental', 'ukrainian', 'hip hop', 'rap']",['Да!']
Ницо Потворно,А може це я? - EP,,,,,,[],[]
Ницо Потворно,Київ - Single,2,,30 November 2020,4,50,"['ukrainian', 'hip hop', 'rap', 'electronic', 'experimental', 'ukrainian', 'hip hop', 'rap']","['Київ', 'Заспіваю ще']"
Ницо Потворно,Чистий,5,13:49,1 July 2021,981,"9,978","['ukrainian', 'hip hop', 'rap', 'electronic', 'experimental', 'ukrainian', 'hip hop', 'rap']","['Годинник', 'Темнота у Кло', 'Юесей', 'Чемний панк', 'Визволи']"
Ницо Потворно,Чистий - EP,5,13:49,2 July 2021,21,223,"['ukrainian', 'hip hop', 'rap', 'electronic', 'experimental', 'ukrainian', 'hip hop', 'rap']","['Годинник', 'Темнота у Кло', 'Юесей', 'Чемний панк', 'Визволи']"
Ницо Потворно,Київ,2,,29 November 2020,438,"2,764","['ukrainian', 'hip hop', 'rap', 'electronic', 'experimental', 'ukrainian', 'hip hop', 'rap']","['Київ', 'Заспіваю ще']"
Ницо Потворно,Служба - Single,1,2:28,14 February 2025,1,1,"['ukrainian', 'hip hop', 'rap', 'electronic', 'experimental', 'ukrainian', 'hip hop', 'rap']",['Служба']
Ницо Потворно,Цивільна абстиненція - Single,3,8:34,28 February 2025,3,14,"['ukrainian', 'hip hop', 'rap', 'electronic', 'experimental', 'ukrainian', 'hip hop', 'rap']","['Трагедія', 'Бамбетель', 'Служба']"
