Epoch	train_cost	val_cost	epoch_time	learing_rate
475	1.19502	3.87584	110.877s	0.0001
476	1.20726	4.02784	111.154s	0.0001
477	1.20045	3.99083	110.463s	0.0001
478	1.19026	4.04709	110.496s	0.0001
479	1.17224	3.94931	110.363s	0.0001
480	1.16904	4.06522	110.545s	0.0001
481	1.18125	4.04284	110.712s	0.0001
482	1.17865	3.96084	110.571s	0.0001
483	1.16692	4.07774	110.523s	0.0001
484	1.1797	3.96479	110.588s	0.0001
485	1.16359	4.0629	110.635s	0.0001
486	1.16653	4.08503	110.414s	0.0001
487	1.17634	3.98239	110.581s	0.0001
488	1.14617	4.08841	110.238s	0.0001
489	1.15049	4.05487	110.567s	0.0001
490	1.14132	4.02985	110.474s	0.0001
491	1.15136	4.14582	110.762s	0.0001
492	1.14141	4.05714	110.653s	0.0001
493	1.14448	3.97121	110.504s	0.0001
494	1.14323	4.03821	110.665s	0.0001
495	1.1315	4.00348	110.746s	0.0001
496	1.12253	4.07659	111.444s	0.0001
497	1.14445	4.07676	110.77s	0.0001
498	1.12535	4.05584	110.633s	0.0001
499	1.11234	3.99175	110.99s	0.0001
500	1.14025	3.89077	110.542s	0.0001
501	1.10603	3.9886	111.195s	0.0001
502	1.09759	4.13108	110.562s	0.0001
503	1.0959	4.10023	110.832s	0.0001
504	1.10033	4.04119	110.729s	0.0001
505	1.08332	4.04594	110.573s	0.0001
506	1.08865	4.02894	110.592s	0.0001
507	1.06822	3.99897	110.519s	0.0001
508	1.07268	4.22451	111.039s	0.0001
509	1.06427	3.98321	111.124s	0.0001
510	1.08528	3.92667	110.689s	0.0001
511	1.09563	4.0049	111.089s	0.0001
512	1.08385	3.93401	110.946s	0.0001
513	1.06138	4.06111	110.714s	0.0001
514	1.04766	4.09827	110.766s	0.0001
515	1.06128	4.11135	110.594s	0.0001
516	1.10756	3.98422	110.492s	0.0001
517	1.05069	3.87225	110.572s	0.0001
518	1.05323	4.07162	110.687s	0.0001
519	1.02932	4.04566	110.585s	0.0001
520	1.03769	3.98132	110.44s	0.0001
521	1.03788	4.01465	110.48s	0.0001
522	1.02874	4.08738	110.697s	0.0001
523	1.0226	4.10713	110.672s	0.0001
524	1.02874	3.94996	110.506s	0.0001
525	1.02797	3.8977	110.855s	0.0001
526	1.01768	4.02244	110.72s	0.0001
527	0.99555	4.10182	110.605s	0.0001
528	1.0062	4.03314	110.603s	0.0001
529	0.994101	4.08908	110.532s	0.0001
530	0.99632	4.00253	110.716s	0.0001
531	0.985188	4.00285	110.448s	0.0001
532	0.992854	4.09783	110.534s	0.0001
533	0.991567	3.95562	110.553s	0.0001
534	0.986522	3.92873	110.57s	0.0001
535	0.974363	4.07083	110.494s	0.0001
536	0.993702	4.17059	110.445s	0.0001
537	0.970336	3.96954	110.662s	0.0001
538	0.985232	4.17016	110.834s	0.0001
539	0.967159	4.01677	110.676s	0.0001
540	0.967373	3.93877	110.601s	0.0001
541	0.965637	4.14489	110.785s	0.0001
542	0.968551	4.00424	110.74s	0.0001
543	0.947464	3.98903	110.315s	0.0001
544	0.966455	3.9823	110.667s	0.0001
545	0.972295	4.0959	110.646s	0.0001
546	0.951059	3.96865	110.562s	0.0001
547	0.954159	3.943	110.438s	0.0001
548	0.933563	3.98262	110.641s	0.0001
549	0.943941	4.31168	110.773s	0.0001
550	0.928431	3.96016	110.649s	0.0001
551	0.922291	3.95476	110.865s	0.0001
552	0.921583	4.02828	110.806s	0.0001
553	0.925667	4.02239	110.524s	0.0001
554	0.931288	4.05196	110.551s	0.0001
555	0.921482	4.0046	110.74s	0.0001
556	0.910674	4.04878	110.488s	0.0001
557	0.906666	3.95055	110.702s	0.0001
558	0.909806	3.90626	110.758s	0.0001
559	0.895613	4.1297	110.69s	0.0001
560	0.90157	4.10644	110.519s	0.0001
561	0.915709	3.99609	110.755s	0.0001
562	0.902819	4.08638	110.889s	0.0001
563	0.896814	4.04853	110.473s	0.0001
564	0.878538	4.16025	110.505s	0.0001
565	0.882243	4.07898	110.895s	0.0001
566	0.889648	4.13227	110.986s	0.0001
567	0.873789	4.10382	110.583s	0.0001
568	0.87495	4.13475	110.549s	0.0001
569	0.891898	3.99321	110.529s	0.0001
570	0.882686	4.01349	110.578s	0.0001
571	0.87196	4.08192	110.336s	0.0001
572	0.886586	4.0983	110.462s	0.0001
573	0.866187	4.15377	110.446s	0.0001
574	0.851912	4.00362	110.341s	0.0001
575	0.856605	3.93407	110.45s	0.0001
576	0.863756	4.16693	110.504s	0.0001
577	0.857264	3.94928	110.626s	0.0001
578	0.869894	4.04635	110.608s	0.0001
579	0.84216	4.07242	110.369s	0.0001
580	0.85116	4.03798	110.334s	0.0001
581	0.840528	4.0329	110.751s	0.0001
582	0.842142	4.34279	110.599s	0.0001
583	0.835529	4.02708	110.418s	0.0001
584	0.850966	3.89266	110.885s	0.0001
585	0.827779	3.99265	110.548s	0.0001
586	0.832327	4.03702	110.55s	0.0001
587	0.844009	4.10044	110.513s	0.0001
588	0.828535	4.0804	110.567s	0.0001
589	0.828313	4.02548	110.848s	0.0001
590	0.814935	4.02111	110.339s	0.0001
591	0.80976	4.19137	110.552s	0.0001
592	0.816169	4.20605	110.395s	0.0001
593	0.807198	4.13773	110.596s	0.0001
594	0.808931	4.01985	110.776s	0.0001
595	0.80399	4.0527	110.513s	0.0001
596	0.802929	4.01157	110.782s	0.0001
597	0.803433	4.12532	110.666s	0.0001
598	0.794063	4.01085	110.583s	0.0001
599	0.803026	4.10933	110.442s	0.0001
600	0.804357	4.00754	110.529s	0.0001
601	0.809285	4.04928	110.497s	0.0001
602	0.791691	3.99678	110.896s	0.0001
603	0.786447	4.02626	110.615s	0.0001
604	0.788079	4.01849	110.983s	0.0001
