title,artist,albums,albums_filtered,main_album
Сніг розталий,alyona alyona,['В хаті МА'],['В хаті МА'],В хаті МА
Забирай,alyona alyona,[],[],Other
Казка,alyona alyona,['В хаті МА'],['В хаті МА'],В хаті МА
Dobre Pre,alyona alyona,[],[],Other
Bro,alyona alyona,['Galas'],['Galas'],Galas
Глибина,alyona alyona,['Galas'],['Galas'],Galas
Булінг,alyona alyona,"['Булінг - Single', 'Булінг']",[],Other
Маріуполь,alyona alyona,"['Маріуполь', 'Маріуполь - Single']",[],Other
Заплутались,alyona alyona,['Galas'],['Galas'],Galas
Я не сдамся без бою,Океан Ельзи,[],[],Other
у мене немає дому,Один В Каное,"['У мене немає дому', 'У мене немає дому - Single']",[],Other
Пообіцяй мені,Один В Каное,[],[],Other
Човен,Один В Каное,"['Один в каное', 'Украинская Эстрада (Самое Новое И Лучшее)']",['Один в каное'],Один в каное
Небо,Один В Каное,"['Один в каное', 'Live In Museum Of Ideas']","['Live In Museum Of Ideas', 'Один в каное']",Live In Museum Of Ideas
Демони,Один В Каное,['Один в каное'],['Один в каное'],Один в каное
Лю,Один В Каное,[],[],Other
Пішы,Один В Каное,['Один в каное'],['Один в каное'],Один в каное
Дерево,Один В Каное,"['Один в каное', 'Live In Museum Of Ideas']","['Live In Museum Of Ideas', 'Один в каное']",Live In Museum Of Ideas
Мамма,Один В Каное,['Один в каное'],['Один в каное'],Один в каное
Шахи,Один В Каное,"['Один в каное', 'Live In Museum Of Ideas']","['Live In Museum Of Ideas', 'Один в каное']",Live In Museum Of Ideas
Бути тобою,Один В Каное,"['Один в каное', 'Live In Museum Of Ideas']","['Live In Museum Of Ideas', 'Один в каное']",Live In Museum Of Ideas
Коти,Один В Каное,"['Один в каное', 'Live In Museum Of Ideas']","['Live In Museum Of Ideas', 'Один в каное']",Live In Museum Of Ideas
Про білизну,Один В Каное,"['Один в каное', 'Live In Museum Of Ideas']","['Live In Museum Of Ideas', 'Один в каное']",Live In Museum Of Ideas
Янголе,Один В Каное,"['Один в каное', 'Live In Museum Of Ideas']","['Live In Museum Of Ideas', 'Один в каное']",Live In Museum Of Ideas
Рибка,Один В Каное,['Один в каное'],['Один в каное'],Один в каное
маленький хлопчик,Один В Каное,['Один в каное'],['Один в каное'],Один в каное
От і все,Один В Каное,['Один в каное'],['Один в каное'],Один в каное
Вулиця,Один В Каное,['Один в каное'],['Один в каное'],Один в каное
"Подобається, як ти ідеш",Один В Каное,['Один в каное'],['Один в каное'],Один в каное
Стіни,Один В Каное,['Один в каное'],['Один в каное'],Один в каное
Будь мені кимось,Один В Каное,[],[],Other
Реквієм,Один В Каное,['Один в каное'],['Один в каное'],Один в каное
Колискова,Один В Каное,['Один в каное'],['Один в каное'],Один в каное
Румба,Один В Каное,['Один в каное'],['Один в каное'],Один в каное
Жучка,Один В Каное,['Один в каное'],['Один в каное'],Один в каное
Слухай дощі,Один В Каное,['Live In Museum Of Ideas'],['Live In Museum Of Ideas'],Live In Museum Of Ideas
Осінь,Один В Каное,['Один в каное'],['Один в каное'],Один в каное
Кому то тре,Один В Каное,[],[],Other
Пам’яті мало,Один В Каное,[],[],Other
Розсипаюся,Один В Каное,[],[],Other
Хуанхе,Один В Каное,[],[],Other
Прекрасний оповідач,Один В Каное,[],[],Other
Веснянка,Один В Каное,[],[],Other
Вовк,Один В Каное,[],[],Other
Про автора,Один В Каное,[],[],Other
Лісабон,Один В Каное,[],[],Other
Туга,Один В Каное,[],[],Other
Саме Та,Один В Каное,[],[],Other
Один в полі воїн,Один В Каное,"['Один в полі воїн', 'Один в полі воїн - Single']",[],Other
Long Time Ago,Океан Ельзи,"['1221', 'Там, де нас нема']","['1221', 'Там, де нас нема']","Там, де нас нема"
Джульєтта,Океан Ельзи,['Земля'],['Земля'],Земля
Міра,Океан Ельзи,['Міра'],['Міра'],Міра
Як довго,Океан Ельзи,"['Міра', 'The Best Of']",['Міра'],Міра
Перша пісня,Океан Ельзи,"['Gloria', '100 лучших песен']",['Gloria'],Gloria
GLORIA,Океан Ельзи,"['Gloria', 'Russian Rock - Collection Vol. 1']",['Gloria'],Gloria
Хочу напитись тобою,Океан Ельзи,"['Міра', 'The Best Of']",['Міра'],Міра
Моя мала,Океан Ельзи,['Міра'],['Міра'],Міра
Новий день,Океан Ельзи,[],[],Other
Ікони не плачуть,Океан Ельзи,"['Gloria', '100 лучших песен']",['Gloria'],Gloria
Лелеки,Океан Ельзи,"['Міра', 'Вибране...']",['Міра'],Міра
Африка,Океан Ельзи,"['Янанебібув', 'Я на небі був']",['Янанебібув'],Янанебібув
